Date,Hs,P,W
"2012-6-1-0",0.8437,101840.0000,4.7000
"2012-6-1-1",0.8644,101900.0000,4.5000
"2012-6-1-2",0.8607,101890.0000,4.7000
"2012-6-1-3",0.8376,101860.0000,4.3000
"2012-6-1-4",0.8353,101810.0000,4.7000
"2012-6-1-5",0.8145,101800.0000,3.6000
"2012-6-1-6",0.7728,101760.0000,4.1000
"2012-6-1-7",0.7711,101760.0000,4.5000
"2012-6-1-8",0.8180,101770.0000,4.3000
"2012-6-1-9",0.7930,101820.0000,3.6000
"2012-6-1-10",0.8606,101880.0000,3.9000
"2012-6-1-11",0.8527,101950.0000,3.5000
"2012-6-1-12",0.8505,101950.0000,4.0000
"2012-6-1-13",0.8290,102000.0000,4.0000
"2012-6-1-14",0.8590,102020.0000,2.8000
"2012-6-1-15",0.8099,101980.0000,4.1000
"2012-6-1-16",0.8785,101970.0000,4.6000
"2012-6-1-17",0.8772,101920.0000,4.8000
"2012-6-1-18",0.8994,101900.0000,5.0000
"2012-6-1-19",0.8830,101880.0000,5.3000
"2012-6-1-20",0.9455,101830.0000,5.2000
"2012-6-1-21",0.9818,101870.0000,4.9000
"2012-6-1-22",0.9283,101880.0000,4.7000
"2012-6-1-23",0.9863,101930.0000,4.5000
"2012-6-2-0",0.9888,101940.0000,4.4000
"2012-6-2-1",0.9930,101990.0000,4.5000
"2012-6-2-2",0.9044,102000.0000,4.6000
"2012-6-2-3",0.9549,101940.0000,5.0000
"2012-6-2-4",1.0245,101890.0000,5.2000
"2012-6-2-5",0.9881,101810.0000,5.5000
"2012-6-2-6",0.9881,101760.0000,5.5000
"2012-6-2-7",1.0754,101770.0000,4.6000
"2012-6-2-8",1.0586,101770.0000,6.1000
"2012-6-2-9",1.0691,101810.0000,5.9000
"2012-6-2-10",1.0871,101860.0000,5.0000
"2012-6-2-11",1.0707,101900.0000,5.3000
"2012-6-2-12",1.0938,101940.0000,5.6000
"2012-6-2-13",1.2219,101950.0000,5.5000
"2012-6-2-14",1.1470,101990.0000,4.8000
"2012-6-2-15",1.1224,101970.0000,4.8000
"2012-6-2-16",1.2294,101900.0000,5.6000
"2012-6-2-17",1.0962,101830.0000,5.7000
"2012-6-2-18",1.1826,101780.0000,6.5000
"2012-6-2-19",1.1989,101780.0000,5.7000
"2012-6-2-20",1.1972,101750.0000,5.5000
"2012-6-2-21",1.1100,101770.0000,5.2000
"2012-6-2-22",1.1604,101810.0000,4.6000
