Date,Hs (m),SLP (mbar),W (km/h)
"2012-06-01 00:00:00",0.8437,1018.40,16.9200
"2012-06-01 01:00:00",0.8644,1019.00,16.2000
"2012-06-01 02:00:00",0.8607,1018.90,16.9200
"2012-06-01 03:00:00",0.8376,1018.60,15.4800
"2012-06-01 04:00:00",0.8353,1018.10,16.9200
"2012-06-01 05:00:00",0.8145,1018.00,12.9600
"2012-06-01 06:00:00",0.7728,1017.60,14.7600
"2012-06-01 07:00:00",0.7711,1017.60,16.2000
"2012-06-01 08:00:00",0.8180,1017.70,15.4800
"2012-06-01 09:00:00",0.7930,1018.20,12.9600
"2012-06-01 10:00:00",0.8606,1018.80,14.0400
"2012-06-01 11:00:00",0.8527,1019.50,12.6000
"2012-06-01 12:00:00",0.8505,1019.50,14.4000
"2012-06-01 13:00:00",0.8290,1020.00,14.4000
"2012-06-01 14:00:00",0.8590,1020.20,10.0800
"2012-06-01 15:00:00",0.8099,1019.80,14.7600
"2012-06-01 16:00:00",0.8785,1019.70,16.5600
"2012-06-01 17:00:00",0.8772,1019.20,17.2800
"2012-06-01 18:00:00",0.8994,1019.00,18.0000
"2012-06-01 19:00:00",0.8830,1018.80,19.0800
"2012-06-01 20:00:00",0.9455,1018.30,18.7200
"2012-06-01 21:00:00",0.9818,1018.70,17.6400
"2012-06-01 22:00:00",0.9283,1018.80,16.9200
"2012-06-01 23:00:00",0.9863,1019.30,16.2000
"2012-06-02 00:00:00",0.9888,1019.40,15.8400
"2012-06-02 01:00:00",0.9930,1019.90,16.2000
"2012-06-02 02:00:00",0.9044,1020.00,16.5600
"2012-06-02 03:00:00",0.9549,1019.40,18.0000
"2012-06-02 04:00:00",1.0245,1018.90,18.7200
"2012-06-02 05:00:00",0.9881,1018.10,19.8000
"2012-06-02 06:00:00",0.9881,1017.60,19.8000
"2012-06-02 07:00:00",1.0754,1017.70,16.5600
"2012-06-02 08:00:00",1.0586,1017.70,21.9600
"2012-06-02 09:00:00",1.0691,1018.10,21.2400
"2012-06-02 10:00:00",1.0871,1018.60,18.0000
"2012-06-02 11:00:00",1.0707,1019.00,19.0800
"2012-06-02 12:00:00",1.0938,1019.40,20.1600
"2012-06-02 13:00:00",1.2219,1019.50,19.8000
"2012-06-02 14:00:00",1.1470,1019.90,17.2800
"2012-06-02 15:00:00",1.1224,1019.70,17.2800
"2012-06-02 16:00:00",1.2294,1019.00,20.1600
"2012-06-02 17:00:00",1.0962,1018.30,20.5200
"2012-06-02 18:00:00",1.1826,1017.80,23.4000
"2012-06-02 19:00:00",1.1989,1017.80,20.5200
"2012-06-02 20:00:00",1.1972,1017.50,19.8000
"2012-06-02 21:00:00",1.1100,1017.70,18.7200
"2012-06-02 22:00:00",1.1604,1018.10,16.5600
"2012-06-02 23:00:00",1.1970,1018.50,14.0400
"2012-06-03 00:00:00",1.2597,1018.70,13.6800
"2012-06-03 01:00:00",1.1853,1019.10,16.2000
"2012-06-03 02:00:00",1.1346,1019.30,16.5600
"2012-06-03 03:00:00",1.1892,1019.20,17.6400
"2012-06-03 04:00:00",1.1838,1018.50,20.1600
"2012-06-03 05:00:00",1.1513,1018.00,19.0800
"2012-06-03 06:00:00",1.0621,1017.60,20.5200
"2012-06-03 07:00:00",1.0417,1017.40,19.0800
"2012-06-03 08:00:00",1.0980,1017.00,24.8400
"2012-06-03 09:00:00",1.0945,1016.80,25.5600
"2012-06-03 10:00:00",1.0518,1017.20,24.1200
"2012-06-03 11:00:00",1.1059,1017.60,23.4000
"2012-06-03 12:00:00",1.0585,1017.40,25.2000
"2012-06-03 13:00:00",1.0509,1017.50,26.6400
"2012-06-03 14:00:00",1.1291,1017.60,25.2000
"2012-06-03 15:00:00",1.1454,1017.90,22.3200
"2012-06-03 16:00:00",1.0866,1017.60,24.4800
"2012-06-03 17:00:00",1.0550,1017.10,25.2000
"2012-06-03 18:00:00",1.1057,1016.50,24.4800
"2012-06-03 19:00:00",1.1248,1016.00,23.7600
"2012-06-03 20:00:00",0.9853,1015.90,21.2400
"2012-06-03 21:00:00",1.0308,1015.60,19.8000
"2012-06-03 22:00:00",0.9389,1015.70,18.3600
"2012-06-03 23:00:00",0.9269,1016.20,16.5600
"2012-06-04 00:00:00",0.8608,1016.70,15.8400
"2012-06-04 01:00:00",0.8316,1017.00,14.0400
"2012-06-04 02:00:00",0.7985,1017.00,15.4800
"2012-06-04 03:00:00",0.8381,1016.20,16.2000
"2012-06-04 04:00:00",0.8177,1015.20,18.3600
"2012-06-04 05:00:00",0.8287,1014.90,18.7200
"2012-06-04 06:00:00",0.7799,1014.20,18.7200
