START_DATE	END_DATE	NAME	COMMENTS	REFERENCE
1906-03-12	1906-03-13	Märzflut 1906	belgian, dutch and german coast	https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1916-01-13	1916-01-14	Storm 1916/Jan	dutch coast	https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1916-02-16	1916-02-16	Storm 1916/Feb		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1917-12-02	1917-12-02	Storm 1917/Dec		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1926-10-10	1926-10-10	Storm 1926/Oct		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1930-11-23	1930-11-23	Storm 1930/Nov		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1936-10-18	1936-10-18	Mittagsflut	Elbmündung	https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1941-10-19	1941-10-19	Storm 1941/Oct		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1949-01-08	1949-01-08	Storm 1949/Jan		https://en.wikipedia.org/wiki/Storm_tides_of_the_North_Sea
1949-02-10	1949-02-10	Ebbflut		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1949-10-26	1949-10-26	Storm 1949/Oct		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
1953-01-31	1953-02-01	Great North Sea flood	dutch, belgian and british coast; 2160 deaths; heaviest natural disaster of the 20th century in the region of the North Sea	https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1954-12-19	1954-12-24	Storm 1954/12	german coast; highest storm surge since 1906; more than 70 deaths	https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1962-02-12	1962-02-14	Storm 1962/02		https://de.wikipedia.org/wiki/Sturmflut_1962#Entwicklung_der_Wetterlage
1962-02-16	1962-02-17	Hamburg-Flut	german coast; flooded one fifth of Hamburg; 340 deaths	https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1967-02-21	1967-02-24	Bermpohl Hurricane		https://de.wikipedia.org/wiki/Adolph-Bermpohl-Orkan	https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1967-10-17	1967-10-17	Storm 1967/Oct		http://projects.knmi.nl/hydra/cgi-bin/storm_list.cgi
1972-11-12	1972-11-13	Cyclone Quimburga		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
1973-04-02	1973-04-02	Storm 1973/Apr		http://projects.knmi.nl/hydra/cgi-bin/storm_list.cgi
1973-11-13	1973-11-14	Storm 1973/Nov (1)		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1973-11-16	1973-11-17	Storm 1973/Nov (2)		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1973-11-19	1973-11-20	Storm 1973/Nov (3)		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1973-12-06	1973-12-07	Storm 1973/Dec (1)		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1973-12-13	1973-12-15	Storm 1973/Dec (2)		https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1976-01-02	1976-01-04	Capella Hurricane	highest storm sturge at the german coast to date	https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1976-01-21	1976-01-21	Storm 1976/Jan (2)	german and danish coast	https://de.wikipedia.org/wiki/Liste_der_Sturmfluten_an_der_Nordsee#Ab_1800
1978-01-11	1978-01-12	1978 North Sea storm surge	Areas affacted: UK, Belgium, France, Netherlands	https://en.wikipedia.org/wiki/1978_North_Sea_storm_surge
1979-02-14	1979-02-16	Storm 1979/Feb		http://projects.knmi.nl/hydra/stormcatalogus/
1981-11-24	1981-11-24	North Frisian Flood	severe surge with dike breaches in Denmark	https://en.wikipedia.org/wiki/Storm_tides_of_the_North_Sea
1983-02-01	1983-02-02	Storm 1983/Feb		http://projects.knmi.nl/hydra/stormcatalogus/
1983-05-12	1983-05-12	Storm 1983/May		http://projects.knmi.nl/hydra/cgi-bin/storm_list.cgi
1983-11-27	1983-11-27	Storm 1983/Nov		http://projects.knmi.nl/hydra/stormcatalogus/
1984-01-14	1984-01-14	Storm 1984/Jan		http://projects.knmi.nl/hydra/stormcatalogus/
1986-12-14	1986-12-15	Storm 1986/Dec		http://aonbenfield.de/sturmhistorie/sturmhistorie.pdf
1987-10-15	1987-10-16	Great Storm of 1987	Areas affected: UK, France, Belgium, Spain, Norway	https://en.wikipedia.org/wiki/Great_Storm_of_1987
1989-02-14	1989-02-14	Storm 1989/Feb		http://projects.knmi.nl/hydra/stormcatalogus/
1990-01-25	1990-01-26	Storm Daria	Areas affected: UK, Belgium, Netherlands, France, Germany	https://de.wikipedia.org/wiki/Orkan_Daria
1990-02-25	1990-02-27	Storm Vivian		https://de.wikipedia.org/wiki/Orkan_Vivian
1990-02-28	1990-03-01	Storm Wiebke		https://de.wikipedia.org/wiki/Orkan_Wiebke
1990-12-12	1990-12-12	Storm 1990/Dec		http://projects.knmi.nl/hydra/stormcatalogus/
